date,sentiment_score
2023-07-20,0.9873
2023-07-20,-0.8625
2023-07-20,0.9719
2023-07-25,-0.886
2023-07-25,0.0516
2023-07-26,0.9558
2023-07-27,0.3774
2023-07-31,0.997
2023-08-01,0.0312
2023-08-02,-0.9769
2023-08-13,0.1593
2023-08-13,0.9776
2023-08-14,0.9761
2023-08-14,0.9423
2023-08-17,-0.743
2023-08-25,0.9779
2023-08-26,0.6597
2023-08-28,0.9972
2023-09-01,0.9953
2023-09-07,0.9584
2023-09-09,0.9839
2023-09-10,0.9809
2023-09-10,0.9951
2023-09-10,0.9432
2023-09-11,0.9841
2023-09-11,0.9456
2023-09-11,0.9875
2023-09-12,0.9468
2023-09-12,-0.9923
2023-09-12,-0.923
2023-09-12,-0.9627
2023-09-13,0.1531
2023-09-13,0.9755
2023-09-13,-0.8419
2023-09-14,0.8402
2023-09-14,0.9868
2023-09-14,0.9816
2023-09-14,-0.6428
2023-09-14,0.997
2023-09-15,0.9623
2023-09-15,0.9729
2023-09-16,-0.8442
2023-09-17,0.9923
2023-09-17,-0.9861
2023-09-17,-0.4215
2023-09-18,0.9894
2023-09-18,-0.8338
2023-09-19,-0.872
2023-09-19,0.9826
2023-09-19,0.9702
2023-09-20,0.9923
2023-09-20,0.8922
2023-09-22,0.0862
2023-09-25,0.9876
2023-09-27,0.9584
2023-10-01,0.9714
2023-10-02,-0.9755
2023-10-03,0.9911
2023-10-03,-0.8857
2023-10-04,-0.7906
2023-10-06,0.9535
2023-10-24,0.9765
2023-10-24,0.9913
2023-10-24,-0.8315
2023-10-24,0.2944
2023-10-27,-0.9649
2023-10-29,-0.8863
2023-11-06,0.9081
2023-11-08,0.7837
2023-11-08,0.9469
2023-11-08,-0.1298
2023-11-09,0.9907
2023-11-10,-0.2023
2023-11-11,0.8402
2023-11-12,-0.9548
2023-11-12,-0.9969
2023-11-13,0.872
2023-11-18,0.9641
2023-11-21,-0.9947
2023-11-27,0.9929
2023-12-02,0.9062
2023-12-03,0.9676
2023-12-04,0.6471
2023-12-04,0.9845
2023-12-10,0.9913
2023-12-10,0.9769
2023-12-11,0.9978
2023-12-12,0.9152
2023-12-13,0.9769
2023-12-17,0.9858
2023-12-21,0.9705
2023-12-25,0.9854
2023-12-26,0.9837
2023-12-31,0.9735
2024-01-06,0.9966
2024-01-09,0.866
2024-01-25,-0.9885
2024-01-28,0.9898
2024-01-30,0.8915
2024-02-04,0.058
2024-02-04,0.7872
2024-02-04,0.9771
2024-02-06,0.9984
2024-02-07,-0.3291
2024-02-09,-0.6854
2024-02-11,-0.079
2024-02-11,-0.8451
2024-02-14,0.9863
2024-02-16,-0.9378
2024-02-18,-0.7319
2024-02-21,-0.3018
2024-02-21,-0.8129
2024-02-24,-0.926
2024-02-24,-0.8505
2024-02-26,-0.9918
2024-02-27,-0.8885
2024-02-27,-0.956
2024-03-01,-0.9042
2024-03-12,-0.7096
2024-03-19,0.7845
2024-03-24,-0.9186
2024-03-25,-0.1531
2024-03-26,0.872
2024-03-26,-0.959
2024-03-28,-0.9788
2024-03-28,-0.4576
2024-03-31,-0.9672
2024-04-01,0.8674
2024-04-02,0.624
2024-04-02,0.994
2024-04-03,-0.2667
2024-04-03,0.7269
2024-04-04,-0.4147
2024-04-06,-0.9679
2024-04-06,0.9758
2024-04-07,0.9934
2024-04-08,-0.3612
2024-04-08,-0.9168
2024-04-08,0.4854
2024-04-09,-0.908
2024-04-09,-0.8126
2024-04-09,0.9875
2024-04-10,-0.9847
2024-04-11,-0.1088
2024-04-11,-0.4019
2024-04-11,-0.9863
2024-04-11,-0.9638
2024-04-11,-0.9991
2024-04-12,0.9483
2024-04-13,-0.296
2024-04-15,0.9983
2024-04-16,0.9093
2024-04-22,0.9607
2024-04-23,0.9968
2024-04-23,0.9895
2024-04-26,-0.6992
2024-04-29,0.8566
2024-04-30,0.7538
2024-04-30,-0.9845
2024-05-01,0.6369
2024-05-01,-0.9972
2024-05-02,-0.7003
2024-05-03,-0.9972
